iter	Logloss
0	0.6708848434
1	0.6560212718
2	0.6425120178
3	0.6323990242
4	0.6221651076
5	0.615358051
6	0.6099578909
7	0.6052981139
8	0.6009907366
9	0.5973750597
10	0.5947062934
11	0.5905031475
12	0.5883319829
13	0.5858876766
14	0.5839588862
15	0.5823339322
16	0.5807545562
17	0.5795282709
18	0.578348638
19	0.5769353147
20	0.5759874335
21	0.5751655877
22	0.5743525589
23	0.573786267
24	0.5731017014
25	0.5723913605
26	0.5712562491
27	0.5706920596
28	0.5699093653
29	0.5689198847
30	0.5683599371
31	0.5676595305
32	0.5669721716
33	0.5665653714
34	0.5661089764
35	0.5656308449
36	0.5648693452
37	0.5645582879
38	0.5641133508
39	0.5637381199
40	0.5633943499
41	0.5630824072
42	0.5627958002
43	0.562441018
44	0.5621392021
45	0.5618172528
46	0.5615363075
47	0.5608527906
48	0.5605277221
49	0.5603133005
50	0.5600496648
51	0.5588710161
52	0.5584431114
53	0.5581416349
54	0.5578437891
55	0.5575640385
56	0.5571348524
57	0.5562554402
58	0.556011105
59	0.5558140259
60	0.5556299698
61	0.5549420876
62	0.5546740037
63	0.554467307
64	0.5539661458
65	0.5537008076
66	0.5533978593
67	0.5531914316
68	0.5530061563
69	0.5527067959
70	0.5525187906
71	0.5523464941
72	0.5521886454
73	0.5520400743
74	0.5517466061
75	0.5515719576
76	0.5513678566
77	0.5510807683
78	0.5509383311
79	0.5506781916
80	0.5504042814
81	0.5500649707
82	0.549892777
83	0.5496520755
84	0.5493370557
85	0.549187845
86	0.5490553533
87	0.5488532748
88	0.5485029491
89	0.5482571537
90	0.5480801064
91	0.547835307
92	0.5476537577
93	0.547395966
94	0.5472138189
95	0.5469973071
96	0.5467135501
97	0.5464477292
98	0.5462661846
99	0.5459888666
100	0.5457880049
101	0.5455684917
102	0.5454189229
103	0.5452453375
104	0.5450725232
105	0.5447931879
106	0.5446103909
107	0.5444430492
108	0.5442503482
109	0.544029309
110	0.5438081709
111	0.5436531512
112	0.5434222103
113	0.5431666678
114	0.5428659355
115	0.5426506968
116	0.5424609251
117	0.5421561494
118	0.5420097809
119	0.5417261404
120	0.5415393187
121	0.5413732071
122	0.5411480245
123	0.5408976202
124	0.5407924793
125	0.5405900082
126	0.5404166871
127	0.5402024598
128	0.539947032
129	0.5397847063
130	0.5395871923
131	0.5394248521
132	0.5392224375
133	0.5390233139
134	0.5385131019
135	0.5382816614
136	0.5380462014
137	0.5377253574
138	0.5375927143
139	0.5374034341
140	0.5371910969
141	0.5369376233
142	0.5366263439
143	0.5363594952
144	0.5361278875
145	0.5358719116
146	0.5356835876
147	0.5353327519
148	0.5351311555
149	0.5349546474
150	0.534753668
151	0.5345298425
152	0.5342198394
153	0.534006858
154	0.5338274181
155	0.5336402281
156	0.5333942991
157	0.533262665
158	0.5330751083
159	0.5329115593
160	0.532677729
161	0.5325059992
162	0.5322418144
163	0.5320529378
164	0.5319012991
165	0.5316983899
166	0.5313824287
167	0.531140278
168	0.5309448585
169	0.5307371645
170	0.5305435649
171	0.5302327795
172	0.5300746307
173	0.5298803237
174	0.5296167723
175	0.529418387
176	0.5291957265
177	0.5290364863
178	0.5288851529
179	0.5286525595
180	0.5284798454
181	0.5282711044
182	0.5281162422
183	0.5279505245
184	0.5278004659
185	0.5275267662
186	0.5272930067
187	0.5271182295
188	0.5266708164
189	0.5265819396
190	0.5264568245
191	0.5263344467
192	0.526155525
193	0.5258854347
194	0.5257171166
195	0.525539788
196	0.5253456892
197	0.5251736292
198	0.5249682885
199	0.5248129018
200	0.5246409614
201	0.5245043662
202	0.524397549
203	0.5242873993
204	0.5240929223
205	0.5238831787
206	0.5237065442
207	0.5234760886
208	0.5233198284
209	0.523101177
210	0.5229622559
211	0.5228009268
212	0.522666752
213	0.5224970123
214	0.522322145
215	0.5221666796
216	0.5219408849
217	0.521714761
218	0.52149639
