iter	Passed	Remaining
0	14	14092
1	25	12769
2	37	12498
3	50	12465
4	61	12297
5	73	12167
6	84	12032
7	95	11835
8	107	11880
9	119	11824
10	130	11769
11	147	12148
12	159	12079
13	171	12062
14	182	11971
15	193	11912
16	205	11882
17	216	11807
18	227	11767
19	239	11724
20	250	11687
21	261	11624
22	272	11563
23	282	11496
24	293	11465
25	305	11448
26	316	11389
27	327	11373
28	339	11360
29	350	11322
30	361	11304
31	373	11289
32	385	11293
33	395	11245
34	408	11256
35	419	11234
36	430	11197
37	441	11176
38	452	11147
39	463	11117
40	474	11088
41	484	11042
42	494	11010
43	505	10982
44	515	10946
45	525	10908
46	536	10879
47	547	10855
48	558	10846
49	569	10822
50	580	10809
51	591	10783
52	602	10768
53	613	10750
54	624	10734
55	635	10716
56	646	10701
57	657	10682
58	668	10664
59	678	10634
60	689	10612
61	699	10586
62	710	10563
63	720	10540
64	731	10522
65	742	10505
66	752	10485
67	763	10466
68	774	10443
69	784	10424
70	795	10404
71	805	10385
72	816	10363
73	826	10342
74	837	10327
75	847	10306
76	858	10290
77	868	10271
78	879	10253
79	890	10237
80	901	10225
81	912	10211
82	922	10195
83	936	10215
84	951	10239
85	964	10251
86	978	10265
87	988	10249
88	999	10230
89	1010	10215
90	1020	10195
91	1031	10178
92	1041	10161
93	1054	10164
94	1065	10150
95	1076	10135
96	1086	10116
97	1097	10102
98	1107	10082
99	1119	10071
100	1129	10054
101	1142	10055
102	1154	10054
103	1165	10039
104	1175	10022
105	1186	10010
106	1197	9993
107	1208	9980
108	1218	9963
109	1229	9950
110	1240	9934
111	1251	9922
112	1262	9906
113	1272	9893
114	1284	9886
115	1295	9871
116	1306	9857
117	1317	9848
118	1328	9834
119	1339	9823
120	1349	9806
121	1360	9793
122	1371	9778
123	1383	9776
124	1395	9770
125	1406	9759
126	1418	9751
127	1431	9752
128	1442	9740
129	1454	9731
130	1467	9733
131	1478	9719
132	1492	9729
133	1506	9733
134	1517	9725
135	1530	9721
136	1541	9711
137	1553	9703
138	1565	9695
139	1576	9683
140	1588	9676
141	1600	9671
142	1611	9660
143	1623	9649
144	1634	9636
145	1645	9622
146	1655	9608
147	1666	9595
148	1677	9580
149	1688	9565
150	1698	9552
151	1709	9537
152	1720	9526
153	1732	9519
154	1743	9505
155	1754	9490
156	1767	9487
157	1777	9473
158	1788	9461
159	1799	9446
160	1811	9438
161	1822	9428
162	1835	9423
163	1847	9416
164	1858	9406
165	1870	9398
166	1882	9390
167	1894	9383
168	1906	9372
169	1919	9370
170	1931	9365
171	1944	9360
172	1955	9348
173	1967	9339
174	1980	9334
175	1991	9325
176	2003	9315
177	2015	9306
178	2027	9297
179	2038	9285
180	2048	9271
181	2062	9267
182	2072	9254
183	2083	9237
184	2093	9222
185	2104	9208
186	2114	9194
187	2125	9179
188	2139	9182
189	2150	9167
190	2160	9151
191	2171	9136
192	2184	9134
193	2200	9143
194	2215	9147
195	2226	9133
196	2237	9121
197	2248	9106
198	2259	9095
199	2270	9080
200	2280	9067
201	2291	9051
202	2301	9037
203	2313	9028
204	2325	9020
205	2337	9007
206	2350	9003
207	2361	8993
208	2373	8984
209	2385	8974
210	2397	8963
211	2410	8958
212	2422	8951
213	2433	8939
214	2445	8928
215	2458	8922
216	2469	8909
217	2482	8903
218	2494	8894
219	2507	8888
220	2518	8876
221	2531	8873
222	2544	8865
223	2556	8857
224	2568	8846
225	2581	8840
226	2593	8830
227	2605	8821
228	2616	8810
229	2627	8794
230	2637	8781
231	2649	8770
232	2660	8757
233	2671	8745
234	2682	8732
235	2692	8717
236	2703	8705
237	2716	8698
238	2728	8688
239	2741	8681
240	2754	8676
241	2765	8663
242	2778	8654
243	2789	8643
244	2801	8634
245	2814	8626
246	2825	8613
247	2837	8604
248	2848	8592
249	2861	8584
250	2873	8573
251	2883	8560
252	2897	8553
253	2909	8546
254	2921	8536
255	2932	8523
256	2944	8513
257	2955	8500
258	2967	8490
259	2979	8479
260	2990	8467
261	3002	8456
262	3013	8444
263	3024	8431
264	3035	8418
265	3045	8404
266	3056	8391
267	3069	8383
268	3081	8373
269	3092	8361
270	3104	8350
271	3116	8342
272	3130	8336
273	3145	8333
274	3155	8319
275	3168	8310
276	3180	8301
277	3191	8288
278	3203	8279
279	3215	8268
280	3227	8258
281	3238	8246
282	3252	8240
283	3263	8227
284	3276	8219
285	3288	8208
286	3300	8200
287	3312	8188
288	3324	8178
289	3336	8169
290	3349	8159
291	3360	8147
292	3371	8136
293	3384	8126
294	3394	8113
295	3407	8104
296	3417	8090
297	3428	8077
298	3440	8065
299	3450	8052
300	3461	8038
301	3472	8026
302	3483	8013
303	3494	7999
304	3506	7991
305	3518	7979
306	3530	7970
307	3543	7962
308	3554	7948
309	3566	7937
310	3577	7925
311	3589	7914
312	3601	7904
313	3613	7894
314	3625	7883
315	3638	7876
316	3651	7867
317	3664	7859
318	3675	7846
319	3687	7836
320	3700	7827
321	3713	7818
322	3725	7809
323	3737	7798
324	3749	7787
325	3760	7775
326	3772	7764
327	3783	7751
328	3795	7741
329	3806	7728
330	3817	7715
331	3829	7705
332	3841	7694
333	3853	7683
334	3865	7672
335	3877	7663
336	3888	7650
337	3901	7641
338	3912	7629
339	3924	7618
340	3936	7606
341	3947	7595
342	3960	7585
343	3971	7573
344	3983	7562
345	3996	7554
346	4008	7543
347	4020	7533
348	4033	7523
349	4045	7512
350	4057	7501
351	4068	7490
352	4081	7480
353	4093	7470
354	4104	7458
355	4116	7446
356	4130	7439
357	4141	7427
358	4152	7414
359	4163	7402
360	4174	7389
361	4186	7379
362	4200	7370
363	4211	7359
364	4224	7349
365	4235	7337
366	4248	7327
367	4259	7315
368	4270	7302
369	4283	7293
370	4293	7279
371	4306	7270
372	4317	7258
373	4331	7249
374	4343	7239
375	4356	7229
376	4367	7217
377	4379	7206
378	4393	7198
379	4406	7189
380	4418	7178
381	4430	7167
382	4442	7156
383	4453	7144
384	4465	7132
385	4476	7120
386	4487	7107
387	4498	7095
388	4509	7083
389	4520	7069
390	4530	7056
391	4541	7043
392	4551	7030
393	4562	7017
394	4573	7005
395	4586	6994
396	4597	6982
397	4608	6971
398	4621	6960
399	4632	6948
400	4643	6936
401	4656	6926
402	4671	6920
403	4688	6916
404	4700	6906
405	4713	6896
406	4725	6884
407	4740	6878
408	4754	6870
409	4765	6858
410	4777	6846
411	4788	6834
412	4801	6824
413	4812	6811
414	4823	6799
415	4834	6787
416	4845	6775
417	4857	6762
418	4867	6750
419	4878	6737
420	4889	6724
421	4901	6713
422	4912	6701
423	4924	6689
424	4936	6678
425	4948	6667
426	4962	6659
427	4973	6647
428	4985	6636
429	4998	6626
430	5013	6618
431	5035	6620
432	5046	6608
433	5060	6599
434	5075	6592
435	5089	6583
436	5101	6572
437	5113	6560
438	5125	6549
439	5140	6542
440	5152	6531
441	5163	6518
442	5175	6507
443	5185	6494
444	5196	6481
445	5207	6468
446	5218	6455
447	5229	6442
448	5239	6430
449	5250	6416
450	5260	6404
451	5271	6391
452	5282	6378
453	5293	6366
454	5304	6353
455	5315	6340
456	5326	6328
457	5337	6316
458	5347	6303
459	5358	6290
460	5370	6279
461	5382	6268
462	5395	6257
463	5407	6246
464	5418	6234
465	5434	6227
466	5453	6224
467	5468	6215
468	5481	6205
469	5494	6195
470	5507	6186
471	5520	6175
472	5532	6163
473	5544	6152
474	5555	6140
475	5567	6129
476	5580	6118
477	5591	6106
478	5603	6095
479	5615	6083
480	5626	6070
481	5637	6058
482	5647	6045
483	5658	6032
484	5669	6020
485	5680	6007
486	5691	5994
